,School,comment,Validated_Labels
664,Barnard,"well-woman is working very well in my opinion. i wish that the school would expand it!!!! anxiety and depression in students need more attention, especially during specific seasons. ",MIXED
665,Hillsdale College,the counselors here are great and the professors really care and will listen to you talk about life.,SATISFIED
666,Northeastern Oklahoma A&M College,the therapist on campus is working well. the fact that no one knows she’s there isn’t well.,MIXED
667,Ohio State,counseling is widely available but i’m not sure how to get in contact ,MIXED
668,Muhlenberg College,i'm not sure what support at the college is working well. i haven't used any.,NEUTRAL
669,Florida State,"the mental health hotline works well

sometimes there is a waitlist for therapy appointments, which isn't great",MIXED
670,UIC,"the wellness center and the commuter center are great resources and communicate well through emails. i enjoy the events they organize.

i would like there to be more information about where and how to get in contact with a wellness counseler.",MIXED
671,Nassau Community College,"i haven’t used any mental health services provided by the college, nor have i been informed of any. ",DISSATISFIED
672,University of Alaska,the uaa student health and counseling center and uaa care team services are great services provided by my college to help students who are struggling with mental health issue. students also have the option to anonymously advocate for teh wellness of a fellow student. ,SATISFIED
673,UCLA,"people would always talk about how caps is there for you, but it feels distant. ",DISSATISFIED
674,Northern Arizona University,"they don't have enough counselors and they also don't really do a lot of specified work, but a lot of places off campus are wildly expensive, so there's limited options to get help for serious diagnoses/esas/etc.",DISSATISFIED
675,Florida State,need more attention on students who are really struggling mentally and physically; friends have been turned away by counseling because they were unfit to be helped,DISSATISFIED
676,Pitt,i did not know that we were able to get free counseling for a semester. it is still a bit unclear about how to schedule an appointment too. ,DISSATISFIED
677,Brigham Young University-Provo,the caps program is great but i think they could partner with off campus agencies for other help,MIXED
678,Daemen College,i havent used the schools services but have heard that the counsiling offered is poor,DISSATISFIED
679,Tufts,"i haven't struggled much with my mental health over the course of my time here so far, so i have very little experience with the wellness services here.",NEUTRAL
680,UB,i have no idea what works well. im too afraid to admit mental health problems to anyone.,DISSATISFIED
681,University of Maryland-College Park,i couldn’t tell you what goes into what category. i just didn’t receive effective treatment from them. ,DISSATISFIED
682,Purdue University-Main Campus,i think the corec should offer more workout classes targeted to mental heanth,DISSATISFIED
683,Haverford College,caps is an accessible resource but it can only do so much.,MIXED
684,Brigham Young University-Provo,caps is a good start but it’s not enough. it’s too difficult to access or learn how to get help. ,DISSATISFIED
685,Arizona State,"i know only of two currently which is the counseling services and the 360 life services. they seem like they work great as i have not yet had to use them, however i am not sure how well they would work with being an only online student and having conflicting schedules",MIXED
686,Oklahoma City Community College,"i was not aware that occc offered any mental health options, i think advertising it is something i would like to see",DISSATISFIED
687,College of the Siskiyous,i literally never knew that there were mental health services on campus/offered by the college because i take my courses online. more advertising specifically for online students would be great.,DISSATISFIED
688,Arizona State,"i find it difficult to schedule appointments during certain times of the semester with counselors, since all seem to be booked often.",DISSATISFIED
689,University of Central Florida,caps does cool events with puppies. i think they need to have more professional therapists versuses low level ones.,MIXED
690,University of Rhode Island,i think they have decent programs in place but not many people know about them or actually access them ,MIXED
691,UIC,i feel the use of tele-health has been expanded during covid and can make a good impact ,SATISFIED
692,Alvin Community College,"i don't use the services, so i would not have a clue. but maybe improve group sessions or add them in.",DISSATISFIED
693,WashU,"there are a lot of peer counseling resources which i like, but there should be more professional, in-person options.",MIXED
694,Colorado School of Mines,not sure haven’t gotten any help. professors should be more understanding though,NEUTRAL
695,Arizona State,"i know nothing of the mental health services offered on campus. 

even if i did, seeking them out would require me to pay even more for parking which already is a large financial stressor. ",NEUTRAL
696,UIC,what’s working well is the on site availability of support however anything over the internet or phone can be hard to schedule with your time and to access making the appointments can be a bit tedious especially when you may want help but need it a bit sooner,MIXED
697,University of Arizona,"caps, it is very difficult as a student and having professors seem to disregard mental health. perhaps flagging when a good student is failing, or isn’t showing up to classes. helping them?",DISSATISFIED
698,Arizona State,i have not used any of the mental health services provided by asu.,NEUTRAL
699,University of Maryland-College Park,having any type of therapist and someone to talk to about problems would be great,DISSATISFIED
700,Coastal Carolina Community College,"i mean, you have to actively look for someone like a counselor to help you.. i only know of people because i'm close to some faculty.. so there's no way to really know they're there without seeking, but they are always available. ",MIXED
701,University of Nebraska-Lincoln,"the college provides very limited mental health support. it is there for small issues, like friendship or homesickness. it is not for deep rooted issues or anything further than a little anxiety and depression",DISSATISFIED
702,Kent State University,"they have counselors, but not enough to provide for the entire campus community. ",DISSATISFIED
703,UCLA,more focus on professional stressors (ie. career and job) rather than social stressors,DISSATISFIED
704,Colorado School of Mines,"i can’t really say anything works well. i called our counseling center in spring 2021 and referred to an off campus online therapy service, had my appointments that i waited months for canceled twice. it was pretty disheartening ",DISSATISFIED
705,West Virginia University,wvu has the carruth center that they frequently advertise. i’ve never visited it though so i’m not sure how good of a place it is.,NEUTRAL
706,Sandhills Community College,i am more likely to attend telehealth service. i also would benefit from being able to obtain a prescription for anxiety. and for adhd services which aren’t offered.,DISSATISFIED
707,Barnard,honestly i don’t use any of the services the college provides but i’ve seen others complain about how they weren’t treated well by the staff,DISSATISFIED
708,Bowdoin,"free counseling is great, but it can still be hard to access and take a while to get  ",MIXED
709,University of Nebraska-Lincoln,"i have not been too concerned with the college’s mental health program since i work for the state and live in lincoln, both of which also have programs.",NEUTRAL
710,UConn,"communication about resources, costs. making appointments online or getting a consultation / evaluation ",MIXED
711,Rutgers,i’ve had multiple friends who used caps and thought the service was very helpful!,SATISFIED
712,Western New England University,"i am not sure; i have not used any yet. i believe spreading information about services, specifically counseling services, should get more attention. maybe looking at doing in-person counseling should be looked at.",DISSATISFIED
713,Arizona State,i like the availability of counseling and that it is at no charge — though have not used the service.,SATISFIED
714,Brigham Young University-Provo,"i think it is great that we have caps, and i know lots of students use that services. i'm not sure how it is recently, but i know in the past it was nearly impossible to get an appointment, especially last minute. i think it is really great that we have a coordinator who can help students find off campus care and i wish that more people were open to that kind of thing. ",MIXED
715,Arizona State,"the counselors on campus are generally nice, but very, very busy. i’ve known people personally who have had very negative reports of how asu handles what they perceive to be an emergency. i think there needs to be professional victim advocates for people who have experienced sexual assault. ",DISSATISFIED
716,Arizona State,"great counsellors in the program, success coaches are really good at directing students towards these mental health resources.

i think having more money going towards mental health facilities would be a good idea as everyone's mental health has seemed to get a bit worse after the pandemic.",MIXED
717,UTK,allow students to see their own counselors at a discount through the school,DISSATISFIED
718,Arizona State,"as an online student, i have not received any information regarding mental health",DISSATISFIED
719,Iowa Western Community College,i don’t live on campus. so i don’t use any mental health help. ,NEUTRAL
720,Sewanee-The University of the South,nothing works as well as it should.  we need more counselors and psychologists who will help and not collect an hourly coin as my friends share their issues with no guidance or resolve.,DISSATISFIED
721,Arizona State,"i am an online student living near chicago. aside from student-run groups and clubs, there doesn't seem to be as many options for online students who are in need of mental health and wellness services. i think that the school should increase the amount of options available to online students, and make an effort to clearly communicate those options to students so that they know there are options.",DISSATISFIED
722,Arizona State,"the counseling services are great, i used it throughout the pandemic. knowing how to connect with counseling needs to be addressed",MIXED
723,UC Riverside,"there was an event for basic needs recently, which was helpful in pointing out resources.",SATISFIED
724,University of Washington,"maybe something surrounding family. i know from experience that talking about your mental health and emotions isn’t something families to normally and it makes it extremely hard to open up, even to friends ",DISSATISFIED
725,SUNY College at Geneseo,"i would like to be able to have an actual therapist to talk to on campus. with teachers or counselors, i feel obligated to only gloss over my personal life and really focus on my academic needs. i feel as though that the health center does not help when it comes to referring students to a real therapist. ",DISSATISFIED
726,Utah,we only have one counselor at the asia campus. she's nice but not every person works well with the same type of counselor.,DISSATISFIED
727,Howard University,more access and awareness for guys seeking mental health and being comfortable with expressing themselves.,DISSATISFIED
728,Virginia Commonwealth University,"vcu needs to offer free, confidential therapy to students  who may not be able to afford a therapist or whose parents dont support the idea of therapy",DISSATISFIED
729,University of Washington,"there is a lot that i don't use as i don't like to talk to people in person about my issues, but also don't want to put it online so it's a hard balance to follow, so more open about where and who i should talk to anonymously would be good.",DISSATISFIED
730,Bergen Community College,gathering more people to know each other. as a stress reliever and help each other out,DISSATISFIED
731,University of California-Santa Barbara,"i think that there needs to be greater accessibility to on campus counseling and therapy. if it was easier to get an appointment, or talk to someone over the phone, it would be easier",DISSATISFIED
732,University of Arizona,i am not sure as i have not utilized the mental health/wellness services on campus. ,NEUTRAL
733,Brigham Young University-Provo,"it is widely known that if you need to see a counselor, it will take at least weeks to get you in if not a month or so. i think this is a big failing and students should be able to get support right away. you can always go to the caps office at any point for a one time visit but that is also hard to schedule and not widely advertised.",DISSATISFIED
734,Stanford,"haven't used it to know--but from my impression limited attention is given to men/male issues due to sexism, and inability to address issues faced by christians being persecuted (for instance from own family)",DISSATISFIED
735,WashU,there are a good number of available resources but i feel like they should advertise them more. like tell people how (and in what situations) they can help.,MIXED
736,Arizona State,i have not utilized any so i cannot speak on them at the moment.,NEUTRAL
737,Stony Brook University,i haven’t used any of stony mental health resources so i’m not sure but based on other peoples experiences i believe they should have a 24 hour service with people who are more empathetic ,DISSATISFIED
738,Arizona State,im not sure. i havent really used my college's mental health services,NEUTRAL
739,Arizona State,"peer counseling is advertised well. however, these are college aged peers. they don't know what they're doing. they should have a certification/program of some kind if they don't already",DISSATISFIED
740,University of Arizona,mental health services are not the best. i had to find resources outside of school.,DISSATISFIED
741,UC Davis,once i was able to meet with a mental health counselor things looked better with my mental health. i was able to comfortably talk with my counselor and schedule regular sessions. my counselor also connected me to a case manager and through them i was able to find long-term therapy providers. i wish the counseling center had more staff. it seems mental health concerns are more prominent in college and with the pandemic. the soonest i was able to see my counselor the first time was a few weeks out from when i scheduled it. but sometimes people need support that isn't necessarily a dire emergency. ,MIXED
742,Salt Lake Community College,"i appreciate slcc efforts for inclusion and diversity. despite the fact that we still have a long way to go, i feel like slcc does the best job out of all major universities/colleges in the whole state. ",SATISFIED
743,Arizona State,"i’m glad that my school offers counseling and mental health services.  however, they are very difficult to get an appointment with and they are not available as a regular counselor.",DISSATISFIED
744,Atlantic Cape Community College,i have not seen any or heard of any services that the college can offer for mental health.,NEUTRAL
745,Duke,i haven’t personally tried to use them but i have heard other students say support is weak,DISSATISFIED
746,Sewanee-The University of the South,"i have not sought out any counseling on campus simply for the lack of knowledge on how it works. i think a newsletter of some kind that shows where to go, who you will be seeing, how to schedule an appointment online with a provider, and programs available to students would be helpful. ",DISSATISFIED
747,Iowa State University,i know there is counseling available for students. i don't know about any other services or what exactly counseling entails.,NEUTRAL
748,Union County College,i feel that there needs to be more advertisements for the services they provide to students.,DISSATISFIED
749,South Carolina,therapists are very high quality. there needs to be more of them so patient caseload per provider are not increased but more students can be seen.,MIXED
750,SOWELA Technical Community College,i'm not sure.  i have never talked to anyone about mental health. ,NEUTRAL
751,Macalester College,my understanding is that the barriers to getting mental health counseling at mac are annoyingly high ,DISSATISFIED
752,UMass Amherst,"mindfulness programs provide great support. i don’t know the scope of umass’ mental health programs as i seek  services outside of the college, but i would imagine it is not fully staffed or funded. there should be more focus in that area. thank you for conducting this survey.",DISSATISFIED
753,Rose State College,online counseling and i feel like the pressure and stress/anxiety needs to be paid more attention to,DISSATISFIED
754,UB,i was refused mental health counseling on campus because i was not being and abused or risk for my life because they didn’t have enough staff,DISSATISFIED
755,Portland State University,"they do a good job promating the mental health support and services, but i would like to see more awareness of other mental health issues other than depression and anxiety.",MIXED
756,University of Arizona,"n/a

i am unaware of what services are provided by the school because i have not sought them out.",NEUTRAL
757,University of Alaska,"i honestly think all of it is amazing so far, i visit the therapists and nurses a lot right now and it’s all been covered by tuition and fees. everyone is super friendly and i always leave feeling like i had everything taken care of",SATISFIED
758,Williams,people in crises were unable to even get appointments during the fall. that was unacceptable and the college needs to make sure it doesn't happen again. ,DISSATISFIED
759,UConn,easier access to an actual therapist weather we pass the screening or not,SATISFIED
760,Bates College,"there is a counseling center with a few therapists, a psychiatrist, and a nurse practitioner. two of the therapists are white men, one is a black woman, and the rest are all white women. i see one of the white male therapists (because he is queer identifying and so am i - he’s the only queer identifying therapist). we definitely need more diverse staff. ",MIXED
761,University of Kansas,"i felt like the school just kinda pushed my mental health aside when i met with a counselor. they just referred me to a therapy group in the town, but i couldn’t go there due to insurance",DISSATISFIED
762,Volunteer State Community College,"put more about getting mental health help/counseling options on the volstate website (or make it easier to find, because i still struggle to find helpful info of who to talk to)",DISSATISFIED
763,Arizona State,i am an online student so i am unsure what services are offered on the campus.,NEUTRAL
764,Marian University (1),i only know of one mental health employee but do not know how to reach them or what to do. the therapy they provide is also catholic based which i am not,DISSATISFIED
765,Davidson College," mainly one counselor, jasmine, has been helpful. need more services/talks about nutrition/body image for students of color and athletes of color because elizabeth allred is not a safe space to discuss either of those.",DISSATISFIED
766,University of Arizona,"caps is working particularly well, but only for short-term issues. i wish there was a better option for long-term therapy with less focus on doing well academically and a bigger focus on holistic outlooks",MIXED
767,Florida International University,i believe that fiu has great mental health and wellness programs overall. i just find it a bit difficult to have access to them. i wish i could just call and be able to speak to a therapist about what i am feeling and what is going on in my life.,DISSATISFIED
768,CWRU,im really unfamiliar with the success of the schools mental health services ,NEUTRAL
769,Georgia State University,i am not familiar with the services offered by the school except that i know there are some available.,NEUTRAL
770,University of Wisconsin-River Falls,i have consistently been very pleased with the mental health support that uwrf has provided me. the one thing that i wish that you guys would do is establish and maintain connections with local deliverance ministries so that people like me would know which ministries are available.,MIXED
771,CU Boulder,"there are plenty of resources that are helpful like a certain amount t of free counseling sessions, but the staff are not diverse which does not help any students that would like to talk to someone they feel they can relate to",MIXED
772,Colorado State,there is often a large wait for people who are seeking counseling. ,DISSATISFIED
773,Colorado State,it takes way to long to schedule an appointment with a therapist or a counselor,DISSATISFIED
774,UIC,"i feel that at first the group therapy was helpful as a stress relief, but eventually it became an anxiety of having to participate and eventually feeling uncomfortable in that environment sharing my personal issues. ",MIXED
775,Northeastern,"being able to get support via telecounseling is great. however, the process was very protracted, and i think it should be more accessible.",MIXED
776,Rowan,the pet therapy program is not as effective (i've heard) as the university hoped for. most people are disappointed that money is going towards this than expanding counseling services.,DISSATISFIED
777,GW,gw and professors need to be more understanding and accommodating to students struggling with mental health instead of telling them to quit.,DISSATISFIED
778,Ohio State,"pal hotline is good, need more counselors since they often get booked",MIXED
779,UMich,"to be honest, they always say there are opportunities, but i've heard plenty of horror stories from both uhs psych and bad experiences at caps that i hesitate to rely on them",DISSATISFIED
780,New York University,the whole counseling program is seriously understaffed and ineffective. did not feel supported or heard at all. ,DISSATISFIED
781,UB,"on campus counseling does well

ub police office mental health training needs more attention",MIXED
782,Arizona State,i really don't know. i don't look to the campus for mental health help.,NEUTRAL
783,Tufts,i think they only advertise the resources when a bad event happens.,DISSATISFIED
784,UMass Amherst,i haven't used any mental health services on campus so i can't really answer that question. i think one thing that needs to be focused on more is just overall loneliness.,NEUTRAL
785,Amherst,"the college has a lot of services but medical intervention is typically a band aid for other deeply rooted problems. this is not a college-specific issue, however",DISSATISFIED
786,Northwestern,"i think it’s great that we have caps, but i don’t think that it’s big enough to service everyone who would benefit from it.  i’ve heard from many people that they waited months to get an initial appointment, which has caused me to skip that resource entirely and search for off campus options.  i’m lucky to have that option, but i know many students don’t.",DISSATISFIED
787,Georgia,there are not enough counselors so i have heard it is hard to have appointments at a necessary frequency. ,DISSATISFIED
788,Patrick Henry Community College,i didn’t have issues with my mental health so i didn’t have to look it up. ,NEUTRAL
789,University of Minnesota,my college works well in communicating about the various mental health resources on campus. more attention is needed to expanding the mental health department in its diversity. ,MIXED
790,IU,"reaching out to the students, not a lot of people are aware of the facilities provided by the university.",DISSATISFIED
791,UIC,having more sessions since it takes a while to talk to someone be known ,DISSATISFIED
792,GW,there are no resources (that i know of) to help students with eating didorders,DISSATISFIED
793,UNC,we need more wellness days and the university needs to acknowledge that. doing a schoolwide thing that is not on university day and where are the support groups on campus ,DISSATISFIED
